path,filename,source_split,disk_class,label,phash,dup_group,split
/kaggle/input/datasets/sartajbhuvaji/brain-tumor-classification-mri/Training/glioma_tumor/gg (1).jpg,gg (1).jpg,Training,glioma_tumor,glioma,14396159219519087672,0,cal
/kaggle/input/datasets/sartajbhuvaji/brain-tumor-classification-mri/Training/glioma_tumor/gg (10).jpg,gg (10).jpg,Training,glioma_tumor,glioma,9326460809209275274,1,test
/kaggle/input/datasets/sartajbhuvaji/brain-tumor-classification-mri/Training/glioma_tumor/gg (100).jpg,gg (100).jpg,Training,glioma_tumor,glioma,10465268635487380839,2,test
/kaggle/input/datasets/sartajbhuvaji/brain-tumor-classification-mri/Training/glioma_tumor/gg (101).jpg,gg (101).jpg,Training,glioma_tumor,glioma,10749558190182523235,3,train
/kaggle/input/datasets/sartajbhuvaji/brain-tumor-classification-mri/Training/glioma_tumor/gg (102).jpg,gg (102).jpg,Training,glioma_tumor,glioma,10766451086829576547,3,train
/kaggle/input/datasets/sartajbhuvaji/brain-tumor-classification-mri/Training/glioma_tumor/gg (103).jpg,gg (103).jpg,Training,glioma_tumor,glioma,10393247325318489190,4,train
/kaggle/input/datasets/sartajbhuvaji/brain-tumor-classification-mri/Training/glioma_tumor/gg (104).jpg,gg (104).jpg,Training,glioma_tumor,glioma,10680350706346713443,5,cal
/kaggle/input/datasets/sartajbhuvaji/brain-tumor-classification-mri/Training/glioma_tumor/gg (105).jpg,gg (105).jpg,Training,glioma_tumor,glioma,10680351840214213473,6,cal
/kaggle/input/datasets/sartajbhuvaji/brain-tumor-classification-mri/Training/glioma_tumor/gg (106).jpg,gg (106).jpg,Training,glioma_tumor,glioma,10767609078698500449,7,val
/kaggle/input/datasets/sartajbhuvaji/brain-tumor-classification-mri/Training/glioma_tumor/gg (107).jpg,gg (107).jpg,Training,glioma_tumor,glioma,10770951572572102953,8,cal
/kaggle/input/datasets/sartajbhuvaji/brain-tumor-classification-mri/Training/glioma_tumor/gg (108).jpg,gg (108).jpg,Training,glioma_tumor,glioma,9312418599121462759,9,train
/kaggle/input/datasets/sartajbhuvaji/brain-tumor-classification-mri/Training/glioma_tumor/gg (109).jpg,gg (109).jpg,Training,glioma_tumor,glioma,10393562928105137505,10,train
/kaggle/input/datasets/sartajbhuvaji/brain-tumor-classification-mri/Training/glioma_tumor/gg (11).jpg,gg (11).jpg,Training,glioma_tumor,glioma,14350292434839364995,11,train
/kaggle/input/datasets/sartajbhuvaji/brain-tumor-classification-mri/Training/glioma_tumor/gg (110).jpg,gg (110).jpg,Training,glioma_tumor,glioma,10677781908185163873,12,train
/kaggle/input/datasets/sartajbhuvaji/brain-tumor-classification-mri/Training/glioma_tumor/gg (111).jpg,gg (111).jpg,Training,glioma_tumor,glioma,10667654511666538600,13,train
/kaggle/input/datasets/sartajbhuvaji/brain-tumor-classification-mri/Training/glioma_tumor/gg (112).jpg,gg (112).jpg,Training,glioma_tumor,glioma,10667715920639232024,14,test
/kaggle/input/datasets/sartajbhuvaji/brain-tumor-classification-mri/Training/glioma_tumor/gg (113).jpg,gg (113).jpg,Training,glioma_tumor,glioma,10379485806419707930,15,train
/kaggle/input/datasets/sartajbhuvaji/brain-tumor-classification-mri/Training/glioma_tumor/gg (114).jpg,gg (114).jpg,Training,glioma_tumor,glioma,10379424182753179744,16,train
/kaggle/input/datasets/sartajbhuvaji/brain-tumor-classification-mri/Training/glioma_tumor/gg (115).jpg,gg (115).jpg,Training,glioma_tumor,glioma,10389551849871517792,17,train
/kaggle/input/datasets/sartajbhuvaji/brain-tumor-classification-mri/Training/glioma_tumor/gg (116).jpg,gg (116).jpg,Training,glioma_tumor,glioma,10770985648849511527,103,train
/kaggle/input/datasets/sartajbhuvaji/brain-tumor-classification-mri/Training/glioma_tumor/gg (117).jpg,gg (117).jpg,Training,glioma_tumor,glioma,10910878712144799078,18,cal
/kaggle/input/datasets/sartajbhuvaji/brain-tumor-classification-mri/Training/glioma_tumor/gg (118).jpg,gg (118).jpg,Training,glioma_tumor,glioma,10478307234847891097,19,train
/kaggle/input/datasets/sartajbhuvaji/brain-tumor-classification-mri/Training/glioma_tumor/gg (119).jpg,gg (119).jpg,Training,glioma_tumor,glioma,10478588159533173656,20,train
/kaggle/input/datasets/sartajbhuvaji/brain-tumor-classification-mri/Training/glioma_tumor/gg (12).jpg,gg (12).jpg,Training,glioma_tumor,glioma,14356766359038423174,21,test
/kaggle/input/datasets/sartajbhuvaji/brain-tumor-classification-mri/Training/glioma_tumor/gg (120).jpg,gg (120).jpg,Training,glioma_tumor,glioma,10910034290653947238,22,test
/kaggle/input/datasets/sartajbhuvaji/brain-tumor-classification-mri/Training/glioma_tumor/gg (121).jpg,gg (121).jpg,Training,glioma_tumor,glioma,10766482086817703015,908,train
/kaggle/input/datasets/sartajbhuvaji/brain-tumor-classification-mri/Training/glioma_tumor/gg (122).jpg,gg (122).jpg,Training,glioma_tumor,glioma,10766481873144129637,908,train
/kaggle/input/datasets/sartajbhuvaji/brain-tumor-classification-mri/Training/glioma_tumor/gg (123).jpg,gg (123).jpg,Training,glioma_tumor,glioma,10766481873144129889,908,train
/kaggle/input/datasets/sartajbhuvaji/brain-tumor-classification-mri/Training/glioma_tumor/gg (124).jpg,gg (124).jpg,Training,glioma_tumor,glioma,10770985549258842465,84,train
/kaggle/input/datasets/sartajbhuvaji/brain-tumor-classification-mri/Training/glioma_tumor/gg (125).jpg,gg (125).jpg,Training,glioma_tumor,glioma,10761982919856644393,909,val
/kaggle/input/datasets/sartajbhuvaji/brain-tumor-classification-mri/Training/glioma_tumor/gg (126).jpg,gg (126).jpg,Training,glioma_tumor,glioma,10404505129648204132,23,train
/kaggle/input/datasets/sartajbhuvaji/brain-tumor-classification-mri/Training/glioma_tumor/gg (127).jpg,gg (127).jpg,Training,glioma_tumor,glioma,10766482092169635941,908,train
/kaggle/input/datasets/sartajbhuvaji/brain-tumor-classification-mri/Training/glioma_tumor/gg (128).jpg,gg (128).jpg,Training,glioma_tumor,glioma,13996395341225863366,24,train
