kind,hamming,path_a,label_a,path_b,label_b
exact,0,/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Training/glioma/Tr-gl_1041.jpg,glioma,/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Training/glioma/Tr-gl_750.jpg,glioma
exact,0,/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Training/glioma/Tr-gl_1057.jpg,glioma,/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Testing/glioma/Te-gl_311.jpg,glioma
exact,0,/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Training/glioma/Tr-gl_1183.jpg,glioma,/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Training/glioma/Tr-gl_1318.jpg,glioma
exact,0,/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Training/glioma/Tr-gl_12.jpg,glioma,/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Training/glioma/Tr-gl_644.jpg,glioma
exact,0,/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Training/glioma/Tr-gl_121.jpg,glioma,/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Training/glioma/Tr-gl_653.jpg,glioma
exact,0,/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Training/glioma/Tr-gl_1222.jpg,glioma,/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Training/glioma/Tr-gl_148.jpg,glioma
exact,0,/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Training/glioma/Tr-gl_1271.jpg,glioma,/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Testing/glioma/Te-gl_169.jpg,glioma
exact,0,/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Training/glioma/Tr-gl_361.jpg,glioma,/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Testing/glioma/Te-gl_299.jpg,glioma
exact,0,/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Training/glioma/Tr-gl_361.jpg,glioma,/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Testing/glioma/Te-gl_364.jpg,glioma
exact,0,/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Training/glioma/Tr-gl_420.jpg,glioma,/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Testing/glioma/Te-gl_233.jpg,glioma
exact,0,/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Training/meningioma/Tr-aug-me_6.jpg,meningioma,/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Training/meningioma/Tr-me_420.jpg,meningioma
exact,0,/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Training/meningioma/Tr-aug-me_67.jpg,meningioma,/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Training/meningioma/Tr-me_1287.jpg,meningioma
exact,0,/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Training/meningioma/Tr-aug-me_8.jpg,meningioma,/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Testing/meningioma/Te-me_273.jpg,meningioma
