kind,hamming,path_a,label_a,path_b,label_b
exact,0,/kaggle/input/datasets/briscdataset/brisc2025/brisc2025/classification_task/train/glioma/brisc2025_train_00056_gl_ax_t1.jpg,glioma,/kaggle/input/datasets/briscdataset/brisc2025/brisc2025/classification_task/train/glioma/brisc2025_train_00058_gl_ax_t1.jpg,glioma
exact,0,/kaggle/input/datasets/briscdataset/brisc2025/brisc2025/classification_task/train/glioma/brisc2025_train_00057_gl_ax_t1.jpg,glioma,/kaggle/input/datasets/briscdataset/brisc2025/brisc2025/classification_task/train/glioma/brisc2025_train_00059_gl_ax_t1.jpg,glioma
exact,0,/kaggle/input/datasets/briscdataset/brisc2025/brisc2025/classification_task/train/glioma/brisc2025_train_00102_gl_ax_t1.jpg,glioma,/kaggle/input/datasets/briscdataset/brisc2025/brisc2025/classification_task/train/glioma/brisc2025_train_00108_gl_ax_t1.jpg,glioma
exact,0,/kaggle/input/datasets/briscdataset/brisc2025/brisc2025/classification_task/train/glioma/brisc2025_train_00252_gl_ax_t1.jpg,glioma,/kaggle/input/datasets/briscdataset/brisc2025/brisc2025/classification_task/train/glioma/brisc2025_train_00253_gl_ax_t1.jpg,glioma
exact,0,/kaggle/input/datasets/briscdataset/brisc2025/brisc2025/classification_task/train/glioma/brisc2025_train_00992_gl_sa_t1.jpg,glioma,/kaggle/input/datasets/briscdataset/brisc2025/brisc2025/classification_task/train/glioma/brisc2025_train_00993_gl_sa_t1.jpg,glioma
exact,0,/kaggle/input/datasets/briscdataset/brisc2025/brisc2025/classification_task/train/meningioma/brisc2025_train_01162_me_ax_t1.jpg,meningioma,/kaggle/input/datasets/briscdataset/brisc2025/brisc2025/classification_task/test/meningioma/brisc2025_test_00328_me_ax_t1.jpg,meningioma
exact,0,/kaggle/input/datasets/briscdataset/brisc2025/brisc2025/classification_task/train/meningioma/brisc2025_train_01210_me_ax_t1.jpg,meningioma,/kaggle/input/datasets/briscdataset/brisc2025/brisc2025/classification_task/test/meningioma/brisc2025_test_00344_me_ax_t1.jpg,meningioma
exact,0,/kaggle/input/datasets/briscdataset/brisc2025/brisc2025/classification_task/train/meningioma/brisc2025_train_01237_me_ax_t1.jpg,meningioma,/kaggle/input/datasets/briscdataset/brisc2025/brisc2025/classification_task/train/meningioma/brisc2025_train_01648_me_co_t1.jpg,meningioma
exact,0,/kaggle/input/datasets/briscdataset/brisc2025/brisc2025/classification_task/train/meningioma/brisc2025_train_01238_me_ax_t1.jpg,meningioma,/kaggle/input/datasets/briscdataset/brisc2025/brisc2025/classification_task/train/meningioma/brisc2025_train_01649_me_co_t1.jpg,meningioma
exact,0,/kaggle/input/datasets/briscdataset/brisc2025/brisc2025/classification_task/train/meningioma/brisc2025_train_01239_me_ax_t1.jpg,meningioma,/kaggle/input/datasets/briscdataset/brisc2025/brisc2025/classification_task/train/meningioma/brisc2025_train_01650_me_co_t1.jpg,meningioma
exact,0,/kaggle/input/datasets/briscdataset/brisc2025/brisc2025/classification_task/train/meningioma/brisc2025_train_01240_me_ax_t1.jpg,meningioma,/kaggle/input/datasets/briscdataset/brisc2025/brisc2025/classification_task/train/meningioma/brisc2025_train_01651_me_co_t1.jpg,meningioma
exact,0,/kaggle/input/datasets/briscdataset/brisc2025/brisc2025/classification_task/train/meningioma/brisc2025_train_01246_me_ax_t1.jpg,meningioma,/kaggle/input/datasets/briscdataset/brisc2025/brisc2025/classification_task/train/meningioma/brisc2025_train_01265_me_ax_t1.jpg,meningioma
exact,0,/kaggle/input/datasets/briscdataset/brisc2025/brisc2025/classification_task/train/meningioma/brisc2025_train_01246_me_ax_t1.jpg,meningioma,/kaggle/input/datasets/briscdataset/brisc2025/brisc2025/classification_task/train/meningioma/brisc2025_train_01302_me_ax_t1.jpg,meningioma
exact,0,/kaggle/input/datasets/briscdataset/brisc2025/brisc2025/classification_task/train/meningioma/brisc2025_train_01246_me_ax_t1.jpg,meningioma,/kaggle/input/datasets/briscdataset/brisc2025/brisc2025/classification_task/test/meningioma/brisc2025_test_00271_me_ax_t1.jpg,meningioma
exact,0,/kaggle/input/datasets/briscdataset/brisc2025/brisc2025/classification_task/train/meningioma/brisc2025_train_01246_me_ax_t1.jpg,meningioma,/kaggle/input/datasets/briscdataset/brisc2025/brisc2025/classification_task/test/meningioma/brisc2025_test_00313_me_ax_t1.jpg,meningioma
